user_id,timestamp,device,location,login_hour,login_day,anomaly_isolation_forest,anomaly_one_class_svm,anomaly_lof
8,2024-12-30 23:39:00,Laptop,Cluj,23,30,-1,1,-1
7,2024-12-31 00:24:00,Laptop,Cluj,0,31,-1,-1,-1
19,2025-01-02 23:47:00,PC,Cluj,23,2,-1,-1,-1
0,2025-01-02 20:21:00,Mobile,Brașov,20,2,-1,-1,-1
18,2025-01-05 01:09:00,PC,Cluj,1,5,-1,-1,-1
0,2025-01-17 23:37:00,Mobile,Iași,23,17,-1,-1,-1
19,2025-01-16 22:51:00,Mobile,București,22,16,-1,1,-1
7,2024-12-30 23:57:00,Mobile,București,23,30,-1,1,-1
19,2025-01-18 22:22:00,PC,Cluj,22,18,-1,1,-1
12,2024-12-31 23:40:00,Laptop,Brașov,23,31,-1,-1,-1
18,2024-12-31 19:38:00,PC,Iași,19,31,-1,-1,1
4,2025-01-01 21:12:00,Laptop,Timișoara,21,1,-1,-1,-1
18,2024-12-31 01:30:00,Laptop,Brașov,1,31,-1,-1,1
19,2024-12-26 21:18:00,Laptop,Cluj,21,26,-1,-1,1
10,2024-12-30 23:59:00,PC,Cluj,23,30,-1,1,-1
19,2025-01-03 04:45:00,PC,Cluj,4,3,-1,-1,-1
9,2024-12-31 00:09:00,Mobile,Iași,0,31,-1,-1,-1
19,2024-12-31 02:38:00,Laptop,Cluj,2,31,-1,-1,-1
1,2024-12-29 22:33:00,PC,Cluj,22,29,-1,-1,-1
0,2025-01-01 02:05:00,Laptop,Cluj,2,1,-1,-1,-1
19,2025-01-20 03:19:00,Mobile,Cluj,3,20,-1,1,-1
1,2025-01-23 00:48:00,Mobile,București,0,23,-1,-1,1
19,2024-12-26 20:27:00,Laptop,București,20,26,-1,1,1
19,2024-12-29 06:41:00,Laptop,Timișoara,6,29,-1,1,1
0,2025-01-01 06:19:00,PC,Iași,6,1,-1,-1,-1
1,2025-01-10 23:49:00,PC,Timișoara,23,10,-1,-1,1
0,2025-01-02 01:51:00,Mobile,Iași,1,2,-1,-1,-1
4,2025-01-01 03:31:00,Laptop,Timișoara,3,1,-1,1,1
0,2024-12-28 23:20:00,PC,Timișoara,23,28,-1,-1,-1
19,2025-01-04 07:30:00,PC,Timișoara,7,4,-1,1,1
17,2025-01-03 01:22:00,Laptop,Brașov,1,3,-1,-1,1
18,2024-12-26 00:36:00,PC,Iași,0,26,-1,-1,1
19,2024-12-28 04:10:00,Laptop,București,4,28,-1,1,1
18,2024-12-31 20:07:00,Mobile,București,20,31,-1,-1,1
5,2024-12-31 01:31:00,PC,Timișoara,1,31,-1,-1,-1
3,2025-01-01 22:41:00,Laptop,Iași,22,1,-1,-1,-1
15,2024-12-31 23:28:00,PC,Iași,23,31,-1,-1,-1
1,2025-01-02 02:52:00,Mobile,București,2,2,-1,-1,-1
19,2024-12-27 20:45:00,Mobile,Cluj,20,27,-1,1,1
19,2025-01-23 01:46:00,PC,Timișoara,1,23,-1,1,-1
19,2025-01-23 00:10:00,Mobile,Brașov,0,23,-1,-1,-1
0,2025-01-20 23:21:00,PC,Iași,23,20,-1,-1,-1
0,2025-01-02 06:06:00,PC,Brașov,6,2,-1,-1,1
19,2025-01-10 01:16:00,Laptop,Iași,1,10,-1,-1,1
1,2025-01-01 00:43:00,Mobile,Brașov,0,1,-1,-1,-1
19,2025-01-06 22:47:00,Laptop,Brașov,22,6,-1,-1,-1
17,2025-01-07 23:03:00,Mobile,Brașov,23,7,-1,-1,1
16,2025-01-07 23:28:00,Laptop,Brașov,23,7,-1,-1,1
0,2024-12-31 03:33:00,Mobile,Timișoara,3,31,-1,-1,-1
19,2024-12-28 22:34:00,Mobile,Iași,22,28,-1,-1,-1
